#;MsgType;Timestamp;Lat;Lon;SpeedKnots;SpeedKmph;TrueHeading;MagnHeading
0;RMC;12/26/2016 9:41:03 PM;49.209814;16.598786;;;;
1;;;;;;;;NMEA message parser not found for RMB.
2;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
3;GSA;;;;;;;
4;GSV;;;;;;;
5;GSV;;;;;;;
6;;;;;;;;NMEA message parser not found for GRM.
7;RMC;12/26/2016 9:41:04 PM;49.20981125;16.5987763833333;;;;
8;;;;;;;;NMEA message parser not found for RMB.
9;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
10;GSA;;;;;;;
11;GSV;;;;;;;
12;GSV;;;;;;;
13;;;;;;;;NMEA message parser not found for GRM.
14;RMC;12/26/2016 9:41:05 PM;49.2098084833333;16.59876675;;;;
15;;;;;;;;NMEA message parser not found for RMB.
16;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
17;GSA;;;;;;;
18;GSV;;;;;;;
19;GSV;;;;;;;
20;;;;;;;;NMEA message parser not found for GRM.
21;RMC;12/26/2016 9:41:06 PM;49.2098057333333;16.5987571333333;;;;
22;;;;;;;;NMEA message parser not found for RMB.
23;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
24;GSA;;;;;;;
25;GSV;;;;;;;
26;GSV;;;;;;;
27;;;;;;;;NMEA message parser not found for GRM.
28;RMC;12/26/2016 9:41:07 PM;49.2098029833333;16.5987475;;;;
29;;;;;;;;NMEA message parser not found for RMB.
30;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
31;GSA;;;;;;;
32;GSV;;;;;;;
33;GSV;;;;;;;
34;;;;;;;;NMEA message parser not found for GRM.
35;RMC;12/26/2016 9:41:08 PM;49.2098002333333;16.5987378833333;;;;
36;;;;;;;;NMEA message parser not found for RMB.
37;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
38;GSA;;;;;;;
39;GSV;;;;;;;
40;GSV;;;;;;;
41;;;;;;;;NMEA message parser not found for GRM.
42;RMC;12/26/2016 9:41:09 PM;49.2097974666667;16.5987282666667;;;;
43;;;;;;;;NMEA message parser not found for RMB.
44;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
45;GSA;;;;;;;
46;GSV;;;;;;;
47;GSV;;;;;;;
48;;;;;;;;NMEA message parser not found for GRM.
49;RMC;12/26/2016 9:41:10 PM;49.2097947166667;16.5987186333333;;;;
50;;;;;;;;NMEA message parser not found for RMB.
51;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
52;GSA;;;;;;;
53;GSV;;;;;;;
54;GSV;;;;;;;
55;;;;;;;;NMEA message parser not found for GRM.
56;RMC;12/26/2016 9:41:11 PM;49.2097919666667;16.5987090166667;;;;
57;;;;;;;;NMEA message parser not found for RMB.
58;;;;;;;;Failed to parse: GGA.. Meters expected in GGA message.
59;GSA;;;;;;;
60;GSV;;;;;;;
61;GSV;;;;;;;
62;;;;;;;;NMEA message parser not found for GRM.
63;RMC;12/26/2016 9:41:12 PM;49.2097892;16.5986993833333;;;;
64;;;;;;;;NMEA message parser not found for RMB.
